,aic,bic,controls,endo_states,exo_states,loglik,max_pval,mean_pval,min_pval,mse,nendo,nexo,nstates,total_valid,true_index,true_valid,valid
300,-11963.426377761889,-11734.171401394937,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6069.7131888809445,1.0,0.9784445244292993,0.24338730665589076,1.5111449431362503,1.0,2.0,3.0,5.0,0.0,1.0,1.0
301,-11952.49398111751,-11723.239004750558,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6064.246990558755,1.0,0.9766006561355904,0.027760407416316267,1.5850367010601734,1.0,2.0,3.0,5.0,0.0,1.0,1.0
302,-11936.932885205866,-11707.677908838914,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6056.466442602933,1.0,0.9866825363694247,0.38184403158592317,1.483847917960018,1.0,2.0,3.0,5.0,0.0,1.0,1.0
303,-11962.693181734126,-11733.438205367174,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6069.346590867063,1.0,0.9880122201937176,0.4648045069384064,1.3458594360139113,1.0,2.0,3.0,6.0,0.0,1.0,1.0
304,-11914.989123836993,-11685.73414747004,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6045.494561918496,1.0,0.9754414187933564,0.09345659476386389,1.6520029541221268,1.0,2.0,3.0,6.0,0.0,1.0,1.0
305,-20063.280044674877,-19834.025068307925,"['y', 'z', 'g', 'r', 'w', 'i']",['k'],"['c', 'l']",10119.640022337438,1.0,0.9655159039673167,0.005370676932301176,0.07001529851002936,1.0,2.0,3.0,6.0,1.0,1.0,1.0
306,-11937.657948810956,-11708.402972444004,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6056.828974405478,1.0,0.9886633473781506,0.43261469937841773,1.4537924741137624,1.0,2.0,3.0,5.0,0.0,1.0,1.0
307,-11936.366783912234,-11707.111807545281,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6056.183391956117,1.0,0.9877406068876755,0.3400681686980265,1.4611782394356534,1.0,2.0,3.0,5.0,0.0,1.0,1.0
308,-11935.111927166456,-11705.856950799503,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6055.555963583228,1.0,0.9764839367228347,0.08759591808260653,1.5661908544838754,1.0,2.0,3.0,5.0,0.0,1.0,1.0
309,-11960.72807856409,-11731.473102197138,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6068.364039282045,1.0,0.9866056427688814,0.5268686623925319,1.4189559201423247,1.0,2.0,3.0,5.0,0.0,1.0,1.0
310,-11953.119298172496,-11723.864321805544,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6064.559649086248,1.0,0.9811659190498221,0.061892392984115044,1.571422529722903,1.0,2.0,3.0,4.0,0.0,1.0,1.0
311,-11941.303354166857,-11712.048377799905,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6058.651677083429,1.0,0.9811490224165528,0.15144850641280444,1.4059950867399935,1.0,2.0,3.0,6.0,0.0,1.0,1.0
